Date,Classification
03-10-2025,Greed
02-10-2025,Greed
01-10-2025,Greed
30-09-2025,Greed
29-09-2025,Greed
28-09-2025,Fear
27-09-2025,Fear
26-09-2025,Fear
25-09-2025,Fear
24-09-2025,Fear
23-09-2025,Fear
22-09-2025,Fear
21-09-2025,Greed
20-09-2025,Greed
19-09-2025,Greed
18-09-2025,Greed
17-09-2025,Greed
16-09-2025,Greed
15-09-2025,Greed
14-09-2025,Greed
13-09-2025,Greed
12-09-2025,Greed
11-09-2025,Greed
10-09-2025,Greed
09-09-2025,Greed
08-09-2025,Greed
07-09-2025,Fear
06-09-2025,Greed
05-09-2025,Greed
04-09-2025,Greed
03-09-2025,Greed
02-09-2025,Greed
01-09-2025,Fear
31-08-2025,Greed
30-08-2025,Fear
29-08-2025,Greed
28-08-2025,Greed
27-08-2025,Greed
26-08-2025,Greed
25-08-2025,Greed
24-08-2025,Greed
23-08-2025,Greed
22-08-2025,Greed
21-08-2025,Greed
20-08-2025,Fear
19-08-2025,Greed
18-08-2025,Greed
17-08-2025,Greed
16-08-2025,Greed
15-08-2025,Greed
14-08-2025,Greed
13-08-2025,Greed
12-08-2025,Greed
11-08-2025,Greed
10-08-2025,Greed
09-08-2025,Greed
08-08-2025,Greed
07-08-2025,Greed
06-08-2025,Greed
05-08-2025,Greed
04-08-2025,Greed
03-08-2025,Greed
02-08-2025,Greed
01-08-2025,Greed
31-07-2025,Greed
30-07-2025,Greed
29-07-2025,Greed
28-07-2025,Greed
27-07-2025,Greed
26-07-2025,Greed
25-07-2025,Greed
24-07-2025,Greed
23-07-2025,Greed
22-07-2025,Greed
21-07-2025,Greed
20-07-2025,Greed
19-07-2025,Greed
18-07-2025,Greed
17-07-2025,Greed
16-07-2025,Greed
15-07-2025,Greed
14-07-2025,Greed
13-07-2025,Greed
12-07-2025,Extreme Greed
11-07-2025,Greed
10-07-2025,Greed
09-07-2025,Greed
08-07-2025,Greed
07-07-2025,Greed
06-07-2025,Greed
05-07-2025,Greed
04-07-2025,Greed
03-07-2025,Greed
02-07-2025,Greed
01-07-2025,Greed
30-06-2025,Greed
29-06-2025,Greed
28-06-2025,Greed
